,Unnamed: 0,SpeakerDyad,ListenerDyad,SpeakerExtract,ListenerExtract,SpeakerID,ListenerID,VideoPath,AudioPath,Condition,Modality,SpeakerSex,Duration,DisplayedDyad
191,575,54,51,4,1,M13,F14,./stim/processed_extracts/fake_ad/50\51_1_54_4_vva.mov,./stim/processed_extracts/audio/50/51_1_54_4_audio.wav,fake_ad,vva,M,8,50
177,533,41,38,2,2,M11,F8,./stim/processed_extracts/fake_ad/36\38_2_41_2_vva.mov,./stim/processed_extracts/audio/36/38_2_41_2_audio.wav,fake_ad,vva,M,10,36
199,599,59,55,2,3,M16,F15,./stim/processed_extracts/fake_ad/60\55_3_59_2_vva.mov,./stim/processed_extracts/audio/60/55_3_59_2_audio.wav,fake_ad,vva,M,7,60
175,527,34,37,3,5,M9,F11,./stim/processed_extracts/fake_ad/33\34_3_37_5_vva.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,fake_ad,vva,M,10,33
180,542,35,44,7,1,F9,M12,./stim/processed_extracts/fake_ad/39\35_7_44_1_vva.mov,./stim/processed_extracts/audio/39/35_7_44_1_audio.wav,fake_ad,vva,F,8,39
179,539,39,36,2,2,M12,F8,./stim/processed_extracts/fake_ad/38\36_2_39_2_vva.mov,./stim/processed_extracts/audio/38/36_2_39_2_audio.wav,fake_ad,vva,M,8,38
157,473,4,8,8,6,F2,M4,./stim/processed_extracts/fake_ad/10\4_8_8_6_vva.mov,./stim/processed_extracts/audio/10/4_8_8_6_audio.wav,fake_ad,vva,F,11,10
154,464,3,7,5,4,M1,F3,./stim/processed_extracts/fake_ad/6\3_5_7_4_vva.mov,./stim/processed_extracts/audio/6/3_5_7_4_audio.wav,fake_ad,vva,M,6,6
160,482,11,5,10,6,F4,M3,./stim/processed_extracts/fake_ad/13\5_6_11_10_vva.mov,./stim/processed_extracts/audio/13/5_6_11_10_audio.wav,fake_ad,vva,F,11,13
159,479,6,11,6,4,M1,F4,./stim/processed_extracts/fake_ad/12\6_6_11_4_vva.mov,./stim/processed_extracts/audio/12/6_6_11_4_audio.wav,fake_ad,vva,M,11,12
156,470,10,13,2,5,M4,F4,./stim/processed_extracts/fake_ad/8\10_2_13_5_vva.mov,./stim/processed_extracts/audio/8/10_2_13_5_audio.wav,fake_ad,vva,M,7,8
186,560,46,47,1,1,F12,M13,./stim/processed_extracts/fake_ad/45\46_1_47_1_vva.mov,./stim/processed_extracts/audio/45/46_1_47_1_audio.wav,fake_ad,vva,F,10,45
197,593,49,60,6,7,M15,F15,./stim/processed_extracts/fake_ad/58\49_6_60_7_vva.mov,./stim/processed_extracts/audio/58/49_6_60_7_audio.wav,fake_ad,vva,M,17,58
162,488,4,14,2,4,M2,F3,./stim/processed_extracts/fake_ad/15\4_2_14_4_vva.mov,./stim/processed_extracts/audio/15/4_2_14_4_audio.wav,fake_ad,vva,M,9,15
195,587,60,48,2,7,F15,M14,./stim/processed_extracts/fake_ad/55\48_7_60_2_vva.mov,./stim/processed_extracts/audio/55/48_7_60_2_audio.wav,fake_ad,vva,F,11,55
161,485,6,5,2,7,F3,M3,./stim/processed_extracts/fake_ad/14\5_7_6_2_vva.mov,./stim/processed_extracts/audio/14/5_7_6_2_audio.wav,fake_ad,vva,F,8,14
143,431,50,50,3,4,M13,F14,./stim/processed_extracts/fake/50\3_4_vva.mov,./stim/processed_extracts/audio/50/3_4_audio.wav,fake_wd,vva,M,8,50
131,395,36,36,1,6,F8,M11,./stim/processed_extracts/fake/36\1_6_vva.mov,./stim/processed_extracts/audio/36/1_6_audio.wav,fake_wd,vva,F,8,36
150,452,60,60,4,6,M16,F15,./stim/processed_extracts/fake/60\4_6_vva.mov,./stim/processed_extracts/audio/60/4_6_audio.wav,fake_wd,vva,M,9,60
133,401,38,38,3,5,F8,M12,./stim/processed_extracts/fake/38\3_5_vva.mov,./stim/processed_extracts/audio/38/3_5_audio.wav,fake_wd,vva,F,9,38
111,335,10,10,3,6,M4,F2,./stim/processed_extracts/fake/10\3_6_vva.mov,./stim/processed_extracts/audio/10/3_6_audio.wav,fake_wd,vva,M,6,10
107,323,6,6,5,4,F3,M1,./stim/processed_extracts/fake/6\4_5_vva.mov,./stim/processed_extracts/audio/6/4_5_audio.wav,fake_wd,vva,F,10,6
115,347,13,13,4,1,M3,F4,./stim/processed_extracts/fake/13\1_4_vva.mov,./stim/processed_extracts/audio/13/1_4_audio.wav,fake_wd,vva,M,14,13
114,344,12,12,5,2,F4,M1,./stim/processed_extracts/fake/12\2_5_vva.mov,./stim/processed_extracts/audio/12/2_5_audio.wav,fake_wd,vva,F,7,12
109,329,8,8,4,5,F4,M4,./stim/processed_extracts/fake/8\4_5_vva.mov,./stim/processed_extracts/audio/8/4_5_audio.wav,fake_wd,vva,F,9,8
138,416,45,45,4,2,F12,M13,./stim/processed_extracts/fake/45\2_4_vva.mov,./stim/processed_extracts/audio/45/2_4_audio.wav,fake_wd,vva,F,9,45
149,449,58,58,1,2,M15,F15,./stim/processed_extracts/fake/58\1_2_vva.mov,./stim/processed_extracts/audio/58/1_2_audio.wav,fake_wd,vva,M,14,58
117,353,15,15,5,3,M2,F3,./stim/processed_extracts/fake/15\3_5_vva.mov,./stim/processed_extracts/audio/15/3_5_audio.wav,fake_wd,vva,M,17,15
147,443,55,55,4,7,M14,F15,./stim/processed_extracts/fake/55\4_7_vva.mov,./stim/processed_extracts/audio/55/4_7_audio.wav,fake_wd,vva,M,12,55
116,350,14,14,1,5,M3,F3,./stim/processed_extracts/fake/14\1_5_vva.mov,./stim/processed_extracts/audio/14/1_5_audio.wav,fake_wd,vva,M,8,14
132,398,37,37,6,2,M10,F11,./stim/processed_extracts/fake/37\2_6_vva.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,fake_wd,vva,M,12,37
121,365,24,24,2,1,M8,F5,./stim/processed_extracts/fake/24\1_2_vva.mov,./stim/processed_extracts/audio/24/1_2_audio.wav,fake_wd,vva,M,7,24
101,305,2,2,3,2,F1,M2,./stim/processed_extracts/fake/2\2_3_vva.mov,./stim/processed_extracts/audio/2/2_3_audio.wav,fake_wd,vva,F,8,2
80,242,50,50,1,1,F14,M13,./stim/processed_extracts/true/50\1_vva.mov,./stim/processed_extracts/audio/50/1_audio.wav,TRUE,vva,F,8,50
56,170,36,36,3,3,F8,M11,./stim/processed_extracts/true/36\3_vva.mov,./stim/processed_extracts/audio/36/3_audio.wav,TRUE,vva,F,9,36
98,296,60,60,1,1,M16,F15,./stim/processed_extracts/true/60\1_vva.mov,./stim/processed_extracts/audio/60/1_audio.wav,TRUE,vva,M,6,60
62,188,39,39,3,3,M12,F9,./stim/processed_extracts/true/39\3_vva.mov,./stim/processed_extracts/audio/39/3_audio.wav,TRUE,vva,M,10,39
60,182,38,38,4,4,M12,F8,./stim/processed_extracts/true/38\4_vva.mov,./stim/processed_extracts/audio/38/4_audio.wav,TRUE,vva,M,16,38
14,44,10,10,5,5,F2,M4,./stim/processed_extracts/true/10\5_vva.mov,./stim/processed_extracts/audio/10/5_audio.wav,TRUE,vva,F,12,10
9,29,6,6,3,3,M1,F3,./stim/processed_extracts/true/6\3_vva.mov,./stim/processed_extracts/audio/6/3_audio.wav,TRUE,vva,M,23,6
21,65,13,13,6,6,F4,M3,./stim/processed_extracts/true/13\6_vva.mov,./stim/processed_extracts/audio/13/6_audio.wav,TRUE,vva,F,18,13
18,56,12,12,1,1,M1,F4,./stim/processed_extracts/true/12\1_vva.mov,./stim/processed_extracts/audio/12/1_audio.wav,TRUE,vva,M,8,12
11,35,8,8,1,1,M4,F4,./stim/processed_extracts/true/8\1_vva.mov,./stim/processed_extracts/audio/8/1_audio.wav,TRUE,vva,M,7,8
73,221,45,45,3,3,M13,F12,./stim/processed_extracts/true/45\3_vva.mov,./stim/processed_extracts/audio/45/3_audio.wav,TRUE,vva,M,7,45
94,284,58,58,3,3,F15,M15,./stim/processed_extracts/true/58\3_vva.mov,./stim/processed_extracts/audio/58/3_audio.wav,TRUE,vva,F,9,58
25,77,15,15,2,2,M2,F3,./stim/processed_extracts/true/15\2_vva.mov,./stim/processed_extracts/audio/15/2_audio.wav,TRUE,vva,M,13,15
89,269,55,55,1,1,F15,M14,./stim/processed_extracts/true/55\1_vva.mov,./stim/processed_extracts/audio/55/1_audio.wav,TRUE,vva,F,14,55
22,68,14,14,2,2,M3,F3,./stim/processed_extracts/true/14\2_vva.mov,./stim/processed_extracts/audio/14/2_audio.wav,TRUE,vva,M,7,14
37,113,24,24,4,4,F5,M8,./stim/processed_extracts/true/24\4_vva.mov,./stim/processed_extracts/audio/24/4_audio.wav,TRUE,vva,F,8,24
57,173,36,36,4,4,M11,F8,./stim/processed_extracts/true/36\4_vva.mov,./stim/processed_extracts/audio/36/4_audio.wav,TRUE,vva,M,13,36
46,140,30,30,3,3,M9,F9,./stim/processed_extracts/true/30\3_vva.mov,./stim/processed_extracts/audio/30/3_audio.wav,TRUE,vva,M,13,30
38,116,24,24,5,5,M8,F5,./stim/processed_extracts/true/24\5_vva.mov,./stim/processed_extracts/audio/24/5_audio.wav,TRUE,vva,M,8,24
32,98,21,21,3,3,F5,M7,./stim/processed_extracts/true/21\3_vva.mov,./stim/processed_extracts/audio/21/3_audio.wav,TRUE,vva,F,13,21
26,80,16,16,3,3,F2,M3,./stim/processed_extracts/true/16\3_vva.mov,./stim/processed_extracts/audio/16/3_audio.wav,TRUE,vva,F,6,16
20,62,13,13,2,2,F4,M3,./stim/processed_extracts/true/13\2_vva.mov,./stim/processed_extracts/audio/13/2_audio.wav,TRUE,vva,F,12,13
41,125,27,27,1,1,F7,M7,./stim/processed_extracts/true/27\1_vva.mov,./stim/processed_extracts/audio/27/1_audio.wav,TRUE,vva,F,8,27
35,107,23,23,3,3,F7,M5,./stim/processed_extracts/true/23\3_vva.mov,./stim/processed_extracts/audio/23/3_audio.wav,TRUE,vva,F,7,23
50,152,32,32,1,1,M10,F9,./stim/processed_extracts/true/32\1_vva.mov,./stim/processed_extracts/audio/32/1_audio.wav,TRUE,vva,M,14,32
2,8,3,3,2,2,F2,M1,./stim/processed_extracts/true/3\2_vva.mov,./stim/processed_extracts/audio/3/2_audio.wav,TRUE,vva,F,15,3
10,32,7,7,3,3,M4,F3,./stim/processed_extracts/true/7\3_vva.mov,./stim/processed_extracts/audio/7/3_audio.wav,TRUE,vva,M,7,7
47,143,31,31,3,3,M10,F8,./stim/processed_extracts/true/31\3_vva.mov,./stim/processed_extracts/audio/31/3_audio.wav,TRUE,vva,M,9,31
5,17,4,4,7,7,F2,M2,./stim/processed_extracts/true/4\7_vva.mov,./stim/processed_extracts/audio/4/7_audio.wav,TRUE,vva,F,19,4
40,122,26,26,6,6,M8,F6,./stim/processed_extracts/true/26\6_vva.mov,./stim/processed_extracts/audio/26/6_audio.wav,TRUE,vva,M,7,26
81,245,51,51,3,3,M14,F14,./stim/processed_extracts/true/51\3_vva.mov,./stim/processed_extracts/audio/51/3_audio.wav,TRUE,vva,M,7,51
93,281,57,57,3,3,M15,F14,./stim/processed_extracts/true/57\3_vva.mov,./stim/processed_extracts/audio/57/3_audio.wav,TRUE,vva,M,13,57
76,230,47,47,7,7,M13,F13,./stim/processed_extracts/true/47\7_vva.mov,./stim/processed_extracts/audio/47/7_audio.wav,TRUE,vva,M,13,47
